date,confirmed_sum,differ_confirmed,average,label
2020-01-22,1,1,1,0
2020-01-23,1,0,0.5,1
2020-01-24,2,1,0.666666667,0
2020-01-25,2,0,0.5,1
2020-01-26,5,3,1,0
2020-01-27,5,0,0.833333333,0
2020-01-28,5,0,0.714285714,1
2020-01-29,6,1,0.75,0
2020-01-30,6,0,0.666666667,1
2020-01-31,8,2,0.8,0
2020-02-01,8,0,0.727272727,0
2020-02-02,8,0,0.666666667,1
2020-02-03,11,3,0.846153846,0
2020-02-04,11,0,0.785714286,0
2020-02-05,11,0,0.714285714,1
2020-02-06,12,1,0.785714286,0
2020-02-07,12,0,0.714285714,0
2020-02-08,12,0,0.714285714,0
2020-02-09,12,0,0.5,0
2020-02-10,12,0,0.5,1
2020-02-11,13,1,0.571428571,0
2020-02-12,13,0,0.5,1
2020-02-13,14,1,0.571428571,0
2020-02-14,14,0,0.428571429,0
2020-02-15,14,0,0.428571429,0
2020-02-16,14,0,0.428571429,0
2020-02-17,14,0,0.214285714,0
2020-02-18,14,0,0.214285714,0
2020-02-19,14,0,0.214285714,0
2020-02-20,14,0,0.142857143,1
2020-02-21,16,2,0.285714286,0
2020-02-22,16,0,0.285714286,0
2020-02-23,16,0,0.285714286,0
2020-02-24,16,0,0.285714286,0
2020-02-25,16,0,0.214285714,0
2020-02-26,16,0,0.214285714,1
2020-02-27,17,1,0.214285714,0
2020-02-28,17,0,0.214285714,1
2020-02-29,25,8,0.785714286,1
2020-03-01,32,7,1.285714286,1
2020-03-02,55,23,2.928571429,1
2020-03-03,74,19,4.285714286,1
2020-03-04,107,33,6.642857143,1
2020-03-05,184,77,12.14285714,1
2020-03-06,237,53,15.78571429,1
2020-03-07,403,166,27.64285714,1
2020-03-08,519,116,35.92857143,1
2020-03-09,594,75,41.28571429,1
2020-03-10,782,188,54.71428571,1
2020-03-11,1147,365,80.78571429,1
2020-03-12,1586,439,112.0714286,1
2020-03-13,2219,633,157.2857143,1
2020-03-14,2978,759,210.9285714,1
2020-03-15,3212,234,227.1428571,1
2020-03-16,4679,1467,330.2857143,1
2020-03-17,6512,1833,459.8571429,1
2020-03-18,9169,2657,647.2857143,1
2020-03-19,13663,4494,962.7857143,1
2020-03-20,20030,6367,1413.785714,1
2020-03-21,26025,5995,1830.142857,1
2020-03-22,34944,8919,2458.928571,1
2020-03-23,46096,11152,3250.142857,1
2020-03-24,56714,10618,3995.142857,1
2020-03-25,68841,12127,4835.285714,1
2020-03-26,86662,17821,6076.857143,1
2020-03-27,105253,18591,7359.571429,1
2020-03-28,127417,22164,8888.5,1
2020-03-29,143544,16127,10023.71429,1
2020-03-30,165698,22154,11501.35714,1
2020-03-31,192079,26381,13254.78571,1
2020-04-01,227903,35824,15623.85714,1
2020-04-02,260183,32280,17608.57143,1
2020-04-03,292630,32447,19471.42857,1
2020-04-04,324340,31710,21308.21429,1
2020-04-05,353117,28777,22726.64286,1
2020-04-06,385110,31993,24215.28571,1
2020-04-07,415256,30146,25610.14286,1
2020-04-08,446500,31244,26975.64286,1
2020-04-09,482526,36026,28276,1
2020-04-10,516707,34181,29389.57143,0
2020-04-11,545693,28986,29876.85714,0
2020-04-12,571551,25858,30571.92857,0
2020-04-13,598794,27243,30935.42857,0
2020-04-14,627306,28512,31087.64286,0
2020-04-15,653669,26363,30411.85714,0
2020-04-16,683351,29682,30226.28571,0
2020-04-17,716508,33157,30277,0
2020-04-18,743857,27349,29965.5,0
2020-04-19,768888,25031,29697.92857,0
2020-04-20,799531,30643,29601.5,0
2020-04-21,825478,25947,29301.57143,0
2020-04-22,855445,29967,29210.35714,0
2020-04-23,887523,32078,28928.35714,0
2020-04-24,919014,31491,28736.21429,0
2020-04-25,949640,30626,28853.35714,0
2020-04-26,975537,25897,28856.14286,0
2020-04-27,1000230,24693,28674,0
2020-04-28,1024834,24604,28394.85714,0
2020-04-29,1051643,26809,28426.71429,0
2020-04-30,1081150,29507,28414.21429,1
2020-05-01,1115972,34822,28533.14286,0
2020-05-02,1142619,26647,28483,0
2020-05-03,1166189,23570,28378.64286,0
2020-05-04,1190240,24051,27907.78571,0
2020-05-05,1214321,24081,27774.5,0
2020-05-06,1238694,24373,27374.92857,0
2020-05-07,1266904,28210,27098.64286,0
2020-05-08,1294111,27207,26792.64286,0
2020-05-09,1318358,24247,26337,0
2020-05-10,1337061,18703,25823.14286,0
2020-05-11,1356283,19222,25432.35714,0
2020-05-12,1379661,23378,25344.78571,0
2020-05-13,1399662,20001,24858.5,0
2020-05-14,1425539,25877,24599.21429,0
2020-05-15,1449938,24399,23854.71429,0
2020-05-16,1473806,23868,23656.21429,0
2020-05-17,1492449,18643,23304.28571,0
2020-05-18,1514833,22384,23185.21429,0
2020-05-19,1535591,20758,22947.85714,0
2020-05-20,1558430,22839,22838.28571,0
2020-05-21,1583542,25112,22617,0
2020-05-22,1607464,23922,22382.35714,0
2020-05-23,1627392,19928,22073.85714,0
2020-05-24,1647513,20121,22175.14286,0
2020-05-25,1666699,19186,22172.57143,0
2020-05-26,1685395,18696,21838.14286,0
2020-05-27,1704200,18805,21752.71429,0
2020-05-28,1725329,21129,21413.57143,1
2020-05-29,1750066,24737,21437.71429,0
2020-05-30,1772783,22717,21355.5,0
2020-05-31,1791547,18764,21364.14286,0
2020-06-01,1809384,17837,21039.35714,0
2020-06-02,1829340,19956,20982.07143,0
2020-06-03,1848388,19048,20711.28571,1
2020-06-04,1876099,27711,20896.92857,1
2020-06-05,1902280,26181,21058.28571,0
2020-06-06,1922433,20153,21074.35714,0
2020-06-07,1940242,17809,20909.21429,0
2020-06-08,1957154,16912,20746.78571,0
2020-06-09,1977478,20324,20863.07143,0
2020-06-10,1999224,21746,21073.14286,0
2020-06-11,2021527,22303,21157,1
