keywords,tf_tc1,tf_t1,ctfidf1,tf_tc2,tf_t2,ctfidf2,tf_tc3,tf_t3,ctfidf3,relative_tf_tc1,relative_tf_tc3,relative_tc_t,,,,relative_A
include,14252,350252,47347.00229,247169,350252,821127.6458,40641,350252,135014.7011,331.4418605,310.2366412,641.6785017,,,,25650.99441
feel,9135,212928,34764.00866,146220,212928,556452.4735,24810,212928,94416.53582,212.4418605,189.389313,401.8311734,,,,
accord,7523,184765,29674.52213,125078,184765,493370.9795,21714,184765,85651.01335,174.9534884,165.7557252,340.7092136,,,,
follow,7157,174506,28631.98294,121119,174506,484543.4038,20629,174506,82527.48023,166.4418605,157.4732824,323.9151429,,,,
add,7191,172929,28832.09222,119024,172929,477223.0489,20433,172929,81925.48191,167.2325581,155.9770992,323.2096574,,,,
start,6774,169554,27291.25771,115514,169554,465385.6426,19598,169554,78956.90413,157.5348837,149.6030534,307.1379372,,,,
lead,6797,159990,27771.72943,111393,159990,455138.4811,17563,159990,71760.31836,158.0697674,134.0687023,292.1384697,,,,
report,5977,146587,24935.82621,102498,146587,427617.9212,17004,146587,70940.06841,139,129.8015267,268.8015267,,,,
leave,5801,137919,24549.85385,93620,137919,396200.1926,16028,137919,67830.55636,134.9069767,122.351145,257.2581218,,,,
eat,5625,136773,23851.27699,91917,136773,389748.9471,15291,136773,64837.31138,130.8139535,116.7251908,247.5391443,,,,
increase,5849,135681,24847.30117,96533,135681,410084.5484,15096,135681,64129.74157,136.0232558,115.2366412,251.259897,,,,
continue,5501,131787,23526.88261,92192,131787,394290.1949,15828,131787,67693.78259,127.9302326,120.8244275,248.75466,,,,
provide,5091,127180,21952.06327,88651,127180,382257.3878,14872,127180,64127.10371,118.3953488,113.5267176,231.9220664,,,,
play,4894,124807,21193.56534,83544,124807,361788.9707,14660,124807,63485.42457,113.8139535,111.9083969,225.7223504,,,,
develop,4817,121046,21005.59464,85617,121046,373351.878,13520,121046,58956.95237,112.0232558,103.2061069,215.2293627,,,,
receive,4470,118805,19574.89903,85293,118805,373512.721,13709,118805,60034.06953,103.9534884,104.648855,208.6023433,,,,
die,4548,115210,20054.49508,78119,115210,344467.2606,14188,115210,62562.2639,105.7674419,108.3053435,214.0727854,,,,
lose,4670,113713,20652.79656,77029,113713,340656.1599,12229,113713,54082.02338,108.6046512,93.35114504,201.9557962,,,,
treat,4617,113158,20440.7261,79438,113158,351693.8271,12764,113158,56509.73098,107.372093,97.4351145,204.8072075,,,,
reduce,4660,111875,20683.60512,79397,111875,352406.909,12604,111875,55943.38175,108.372093,96.21374046,204.5858335,,,,
live,4627,111076,20569.90699,76054,111076,338107.5656,13221,111076,58775.60845,107.6046512,100.9236641,208.5283153,,,,
base,4564,110872,20298.12415,78413,110872,348737.25,12508,110872,55628.60142,106.1395349,95.48091603,201.6204509,,,,
write,4004,104211,18052.82187,71354,104211,321713.5493,12692,104211,57224.37941,93.11627907,96.88549618,190.0017753,,,,
happen,4328,102106,19600.99478,69640,102106,315391.2376,11812,102106,53495.1364,100.6511628,90.16793893,190.8191017,,,,
experience,4649,97938,21246.47253,71335,97938,326009.2746,11048,97938,50490.64927,108.1162791,84.33587786,192.4521569,,,,
share,4018,97622,18375.57978,69096,97622,315997.7752,11803,97622,53978.83727,93.44186047,90.09923664,183.5410971,,,,
affect,4179,93237,19302.00465,65642,93237,303187.8892,10200,93237,47111.85628,97.18604651,77.86259542,175.0486419,,,,
bring,3526,87206,16519.4604,58965,87206,276253.5401,10350,87206,48490.19147,82,79.00763359,161.0076336,,,,
win,3598,85538,16925.63412,58068,85538,273162.2351,9921,85538,46670.15455,83.6744186,75.73282443,159.407243,,,,
relate,3439,81196,16355.24206,56823,81196,270239.5811,9039,81196,42987.79674,79.97674419,69,148.9767442,,,,
read,3211,79705,15329.921,54028,79705,257939.8854,9671,79705,46171.18219,74.6744186,73.82442748,148.4988461,,,,
change,3180,78740,15220.33168,53381,78740,255495.7627,9234,78740,44196.39708,73.95348837,70.48854962,144.442038,,,,
offer,3046,77984,14608.11438,53705,77984,257560.3358,9278,77984,44495.7601,70.8372093,70.82442748,141.6616368,,,,
require,3174,77670,15234.68149,55102,77670,264480.5985,8913,77670,42780.94396,73.81395349,68.03816794,141.8521214,,,,
set,3326,77620,15966.38084,52994,77620,254396.3879,9160,77620,43972.35372,77.34883721,69.92366412,147.2725013,,,,
explain,3230,77353,15516.57363,53522,77353,257113.9486,9055,77353,43499.24899,75.11627907,69.1221374,144.2384165,,,,
improve,3344,76960,16081.11098,53891,76960,259158.8372,8627,76960,41486.76567,77.76744186,65.85496183,143.6224037,,,,
stay,2911,76797,14004.95963,53755,76797,258617.865,10461,76797,50328.36919,67.69767442,79.85496183,147.5526363,,,,
prevent,3037,76245,14632.88207,53193,76245,256294.6645,9144,76245,44057.64691,70.62790698,69.80152672,140.4294337,,,,
remain,2956,75909,14255.55779,52656,75909,253937.974,9401,75909,45337.11056,68.74418605,71.76335878,140.5075448,,,,
create,2862,75474,13818.55095,51676,75474,249506.4426,8646,75474,41745.34992,66.55813953,66,132.5581395,,,,
hold,2812,72877,13674.82508,49414,72877,240301.4958,8813,72877,42857.83549,65.39534884,67.27480916,132.670158,,,,
learn,3008,72838,14629.57561,51388,72838,249928.4014,8051,72838,39156.48711,69.95348837,61.45801527,131.4115036,,,,
grow,2931,72083,14285.38692,48556,72083,236656.8568,8304,72083,40472.82599,68.1627907,63.38931298,131.5521037,,,,
occur,3332,71484,16267.41142,50601,71484,247043.0027,8034,71484,39223.40436,77.48837209,61.32824427,138.8166164,,,,
speak,3026,70647,14808.83711,48421,70647,236965.8631,8466,70647,41431.46562,70.37209302,64.6259542,134.9980472,,,,
