text,확진자수_pred,확진자수_gt,완치자수_pred,완치자수_gt,사망여부_pred,사망여부_gt,집단감염_pred,집단감염_gt,백신관련_pred,백신관련_gt,방역지침_pred,방역지침_gt,경제지원_pred,경제지원_gt,마스크_pred,마스크_gt,국제기구_pred,국제기구_gt,병원관련_pred,병원관련_gt
" "" herald economics ( ulsan ) = reporter lee kyung - gil , a reporter , mercure ambassador hotel ulsan announced on the 8th that it will hold an event for vaccinations . you can experience the ocean view with the sea in the room for a night ( day ~ thu ) and 99000 won for the weekend ( friday ~ thursday ) for one night and two sauna & fitness . it is only possible by direct reservation . in addition , from the 11th , we will run a lunch buffet where you can enjoy the salad buffet of pizza , pasta , steak and mercure ambassador hotel ulsan bay . 10 % of the total amount will be discounted only for the completed customer table . the vaccination proof can be confirmed through the coov app , and an additional fee may be paid if the vaccination is not confirmed in the field . "" mercure ambassador hotel ulsan can be used more safely from the corona virus by thorough defense and periodic ventilation , "" he said . meanwhile , the room reservation period is from 6 to 31 days , and the room stay period is from 6th to november 30th , and the opus lunch period is from 11th to october 31st . """,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
" "" jeju = south seung - hoon reporter jeju = left seung - hoon reporter corona 19 , and when studying abroad is difficult , the number of parents turning to jeju english education city is increasing significantly . jins co . , ltd . , a subsidiary of the urban development center ( jdc , chairman moon dae - rim ) , is a north landon college eight school jeju ( nlcs jeju ) , branksome hall asia ( bha , canada ) in the midst of operating , the student recruitment rate is nearly 90 % , and jdc announced on the 26th that the student recruitment rate in the 2021 and 2022s of the three international schools reached a record high of 88 . 9 % , up 10 . 5 percentage points from the previous year . nlcs jeju , the only overseas campus of nlcs , a prestigious private school in the uk , showed the highest recruitment rate at 98 . 4 % ( 1484 people ) , an increase of 6 . 7 percentage points from the previous year . the us sja jeju opened in 2017 in five years in five years . it achieved % , and bha , a canadian female school , also recorded 82 . 0 % . in addition , jdc explained that jdc explained that the number of applicants in three international schools exceeded 2000 , an average of 2 . 6 : 1 competition , jdc explained that jeju english education city was studying early . it was created to absorb demand and to cultivate global talent . in august , 4582 students are attending international schools . although there are 19 variables coronas , they have achieved the original policy goal with the reduction of 9687 billion won . it is also attracting attention . 214 graduates from 3 international schools in 2020 and 2021 have more than 1 , 000 admission permits , including stanford , oxford , uc berkeley , ucla , and cornell university ( average 4 per student per student it was found that the opening of the school was more than 1177 graduates by 2021 , and more than 90 % of the graduates entered the world ' s top 100 universities since 2021 . chairman said , [UNK] international in jeju english education city the school has grown its cumulative growth in the student recruitment rate , the achievement of university entrance , and the quality of education . [UNK] """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" gangneung art festival , which celebrates 51 times this year , will be held in various ways until the 14th of next month . performance events can be viewed through youtube . the member exhibition of the literature association and the photographers association will be held in gangneung art center 2nd exhibition room and the first exhibition room from 31st to september 5th . it will be held at the gangneung art center ' s 3rd exhibition hall from 2nd to 4th , and the art association ' s regular exhibitions and exchanges will be held at the gangneung art center all hall from september 10 to 14 . this year , especially in gangneung - si and mokpo - si artists . various paintings will be displayed under the theme of ' sea wind ' to show rich attractions . the theater association will hold the theater ' star aurora village ' at a small performance hall . the performances of music associations , filmmakers , korean traditional music associations , and dance associations all of them can be held as a non - face - to - face performance , so you can enjoy the performance on youtube . park seon - ja , chairman of the gangneung yeo , said , [UNK] it is a precious time for citizens to enjoy various cultures through performances and exhibitions prepared by artists in gangneung even in difficult situations . i hope , [UNK] he said .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" in new zealand , 14 % of the total infected children were infected with the corona 19 delta virus since mid - month , according to new zealand media , prime minister luh shin - da - a - da , who began in the press conference on the day of the press conference , began in mid - month , delta byun community infection . there are 868 confirmed confirmers , and 121 children under the age of 9 say that this is the fact that this fact is important for as many people as possible to inoculate the vaccine . all adults have to vaccinate vaccines . "" new zealand pharmaceutical director management authority has not yet approved vaccination for children under 12 years of age . "" , ( photo = getty image korea ) , "" naver home subscribe to sbs news ! "" , https : / / media . naver . com / channel / promotion . nhn ? oid = 055",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" news desk , "" [UNK] anchor ▶ if you have been in the wrong case of the corona 19 - year - old vaccination , you may have seen 1 , 400 cases of these cases . 60 % of cases were incorrectly inoculated with astrazeneca . then , should those who are wrong in vaccine should be inoculated again ? a hospital in incheon , who was incorrectly vaccinated by women , was found to have been mistaken for the frozen validity period ( october ) in the box ( early august ) . even though the expiration date has already passed , the frozen expiration period is just inoculated . i don ' t know if it ' s been in that state , so i don ' t know if it ' s been expired or not . ‥ \ "" in the future , medical institutions that are vaccinated should post the types of vaccines and valid periods used on the hospital in the hospital waiting room and inoculation room . when delivered , the valid period guide sticker was added to the inside and side of the box , and the vaccine with 72 hours of expiration date will be notified to the front - line medical institution through the computer system . in the vaccination agency , the vaccine , which is prevalent , can be used as a remaining vaccine regardless of whether it is released . in the case of the vaccine , you can hit it again after 21 and 28 days after the fault . in addition , the government said that the government is not considering the mandatory vaccine mandatory , and it is expected that the first vaccination rate is likely to overtake the us and japan next week . : oh yu - rim [UNK] tel 02 - 784 - 4000 [UNK] email mbcjebo @ mbc . co . kr [UNK] kakaotalk @ mbc report """,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" herald economics ( ansan ) = park jung - gyu , a reporter , ansan city ( mayor yoon hwa - seop ) , corona 19 4th trend and delta mutation , and the corona 19 vaccination reservation for non - vaccines , including the elderly who are highly risk of severe and death due to the prolonged prolonging and delta mutation . on the 28th , citizens who have not yet received vaccine can make a pre - booking reservation . the vaccination will be held from october 1 to 16 the next day . ) in the middle , the vaccine type is a modern or vaccine , but it can be changed according to the vaccine supply and demand situation . health insurance may not be inoculated only at the vaccination center , but health insurance subscribers are also available in consignment medical institutions . as of 6 pm , the corona 19 - year first vaccination rate was 70 . 2 % , and the government has speeded up the vaccination by achieving early government goals . the act on the prevention and management of infectious diseases will be severely punished on the basis of article 81 ( 10 ) , while additional proliferation will be claimed for all defense costs such as inspection , investigation , and treatment .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" the number of new confirmers on the 1st was 2 , 486 , down 78 from the previous day ( 2 , 564 ) , but the record was the highest on thursday ( announcement friday ) , updating the record for the 8th day . the nation ' s proliferation continues to continue , and at the corona 19 central disaster safety response headquarters , which was presided over by the seoul government office , the government said it would extend the current stages of the current distance for two weeks . the distance stages of the distance will be maintained from 4th to 17th . the central protection countermeasure headquarters is at 0 o ' clock on october 1 , with 2 , 451 new confirms in korea and 35 cases of overseas inflow . 313 , 773 people ( 14 , 470 overseas inflows ) were announced . the number of suspected reporting examiners was 51 , 967 , the number of temporary inspections in the metropolitan area was 97 , 966 ( 711 confirmed ) , and the number of non - capital temporary screening tests was 11 , 864 ( 23 confirmed ? the total number of prosecutors is 161 , 797 , and the total number of new confirmed is 2 , 486 . the new isolation of 1 , 371 , with a total of 275 , 576 ( 87 . 83 % ) isolated , and 1 , 099 patients are currently isolated . there are 16 people , with 2 , 497 cumulative deaths ( 0 . 80 % fatal rate ) . as of october 1 , at 0 o ' clock , the first vaccination was 343 , 752 , a total of 39 , 347 , 573 people received the first inoculation , of which 541 , 143 were completed , totaling 25 , 713 , 009 . myeong completed the vaccination . the inoculation rate to the population is 76 . 6 % of the first vaccinations and 50 . 1 % of the completed vaccinations . % ) in addition , the reservation rate by age group was 13 . 6 % in the 50s , 9 . 7 % in 18 - 29 years , 8 . 6 % in 40s , and 8 . 5 % in 60s . """,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
" "" jeju airlines announced on the 22nd that it operates an emotional coaching psychological counseling program for employees ' mental health and corona blue psychological defense . as a result , more than 370 employees have used emotional coaching programs over the last two years . to this end , jeju airlines recruits the ' jeju airlines junior board ' , which consists of millennials ( born in the 90s ) , and suggests direct discussions and improvements to members on a monthly basis such as organizational culture . a total of 10 jeju airlines junior boards will be held on october 6 with the launching ceremony . there is also a ' fun day ' event every friday for employees . in order for jeju airlines to take a leap forward as a leading company in the postkorona era , employees are preparing and implementing various programs under the judgment of future competitiveness . [UNK] "" i ' m preparing for the coming future . """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "" the church cattle management committee ( chairman park dae - an ) announced on the 16th that it delivered 250kg of domestic beef ' beef ' to the special warfare units that are performing the corona 19 - year - old transportation and convoy operations . this is kept and the table is kept by beef ! ' after supporting messages and beef beef , this year , we provided beef cattle to the units with the message of ' soldiers ' beloved beef and korean beef . '",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" according to busan city on the 10th , 45 new confirmed people occurred this morning . the number of local cumulative confirmers increased to 13 , 149 . the new confirmed person is diagnosed with 34 people who have contacted family , acquaintances , and colleagues . there are 11 people who have been positive through the test , and a new group infection occurred in a bath in haeundae - gu . on the 8th , one user was confirmed on the 8th , and four more users and one contact were increased . we are expanding our users ' movements and conducting additional investigations . in busanjin - gu ' s emotional pub , which had many confirmed people , two users and one contact were occurred on the day , and so far , the confirmed person is 12 users and one contact . it also secures a list of entry and has been inspected by the user . it is a case that has been confirmed by or acquaintances . currently , 448 people are being treated in each medical institution in busan . there are 10 patients with gastric and severe patients . the primary vaccination was 583 , with 259 , 142 people , and 4595 of them completed the second vaccination , and the final completion number was 201 , 6587 , and 77 . 2 % of busan ' s population completed the first inoculation and 60 . 1 the percentage of the % is completed , the first inoculation rate of adults aged 18 or older is 88 . 9 % and the inoculation completion rate is 69 . 2 % . 95 of them reported 95 cases the day before , of which 95 cases complained of general symptoms such as muscle pain and heat . in the meantime , there are a total of 2 , 7013 cases of adverse events . """,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
" "" herald economics = son in - gyu , a reporter in korea , as the spread of the new corona virus infection ( corona 19 ) , the number of new confirmers is expected to be around 2 , 300 people yesterday . a total of 2101 new confirmed candidates who have been diagnosed with corona 19 nationwide until 9 pm were 230 more than 1871 in the same time the day before . considering the number of confirmers in the night time , the number of confirmed number is expected to be 2200 to 2 , 300 . in the area where confirmed by 9 pm the day before , 1606 people ( 76 . 4 % ) in the metropolitan area and 495 dagger areas 495 myeong ( 23 . 6 % ) : by city , 805 people in seoul , 605 in gyeonggi , 196 in incheon , 93 in gyeongnam , 75 in chungbuk , 55 in gyeongbuk , 49 in busan , 48 in busan , 46 in daegu , daejeon and gangwon 28 there are 22 people in jeonbuk , 13 gwangju , 12 in ulsan and jeonnam , 10 jeju , and 4 sejong . he will continue the number of four digits on the 94th day since july 7 ( 1211 people ) . in the major cases , there were many cases of collective on the nation ' s businesses nationwide . it was infected , and 16 workers were confirmed by yongin ' s refrigerated warehouse companies . in 18 auto parts manufacturers in hongseong - gun , chungnam , 18 employees were confirmed at once , and 15 confirmed people were confirmed in relation to plastic manufacturers in jincheon - gun , chungcheongbuk - do . 29 employees were confirmed , and 12 workers were infected with the manufacturing company of the same local haman - gun .",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
" [UNK] honorary chairman chung mong - gu , hyundai motor group , donates 10 billion won to korea university medical center to establish a vaccine innovation center . donations will be used to develop domestic vaccines and research infrastructure for the prevention and treatment of global infectious diseases after corona 19 . chairman jeong - sun lee , who attended the agreement ceremony held in ancient times on behalf of chung honorary chairman , was the foundation for global vaccine development . i hoped to be . """,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" on the 23rd , 708 people in the province were determined to be confirmed in corona 19 , and the cumulative confirmation was 8 , 4746 on the 24th . it is the first time since 703 on the 7th , and the new confirmation is 704 people in the region and 4 overseas inflows . 60 pyeongtaek - si , 46 bucheon - si , 44 suwon - si , 43 goyang - si , 40 ansan - si , 35 in gwangju , 33 in namyangju , 26 siheung - si , and 24 in gimpo . three more people were infected with yeoju - si manufacturing industry ( 16 cumulative 16 ) . the number of confirmed people increased by two . [UNK]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" a man in his 20s died in 10 days after his vaccination of the new corona virus infection ( corona 19 ) in seongju , gyeongbuk , and a health authorities investigated . after 40 minutes of the seizure , he fell to the hospital , but he moved to the hospital emergency room , but died around 6 : 34 am . it is said that the health authorities will reveal the cause of death through autopsy and epidemiological investigations . in gyeongbuk , 29 cases of anaphylaxis suspicion after february 26 , when the corona 19 - vaccination began , 46 major adverse events such as cerebral infarction and cerebral hemorrhage , mild 14093 suspected reports were received . the suspicion of death by vaccine was 38 pfizers , 31 astrazeneca ( az ) , and 73 people .",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
