text,확진자수_pred,확진자수_gt,완치자수_pred,완치자수_gt,사망여부_pred,사망여부_gt,집단감염_pred,집단감염_gt,백신관련_pred,백신관련_gt,방역지침_pred,방역지침_gt,경제지원_pred,경제지원_gt,마스크_pred,마스크_gt,국제기구_pred,국제기구_gt,병원관련_pred,병원관련_gt
" "" 헤럴드경제 ( 울산 ) = 이경길 기자 머큐어 앰배서더호텔 울산이 백신 접종 대상자를 위한 이벤트를 진행한다고 8일 밝혔다 . 이번 이벤트를 통해 투숙일 기준 , 투숙객 전원 2차 접종 완료 후 14일이 지났으면 , 슈페리어 객실 1박과 사우나 & 피트니스 2인을 주중 ( 일 ~ 목 ) 7만7000원 , 주말 ( 금 ~ 토 ) 9만9000원에 객실에서 바다가 보이는 오션뷰를 경험할 수 있다 . 백신 접종 인센티브 예약은 예약실을 통한 직접 예약으로만 가능하다 . 또 11일부터 특급 쉐프가 조리하는 피자 , 파스타 , 스테이크와 머큐어 앰배서더호텔 울산만의 샐러드 뷔페를 함께 즐길 수 있는 런치 뷔페를 운영한다 . 런치 뷔페에도 2명 이상 접종 완료 고객 테이블에 한해 전체 금액의 10 % 가 할인 제공될 예정이다 . 백신 접종 증명은 coov앱으로 통해 확인 가능하며 , 현장에서 백신 접종 여부 확인이 되지 않을 경우 추가요금이 지불될 수 있다 . 호텔 관계자는 [UNK] 머큐어 앰배서더호텔 울산은 철저한 방역과 주기적인 환기를 철저히 진행해 코로나 바이러스로부터 보다 안전하게 이용할 수 있다 [UNK] 며 [UNK] 코로나19 백신 접종을 하신분들께서 많이들 찾아주셔서 안전한 호텔에서 안전하게 호텔을 즐기셨으면 한다 [UNK]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" 제주 = 좌승훈 기자 제주 = 좌승훈 기자 코로나19 장기화로 해외 유학이 힘들어지자 , 제주영어교육도시로 눈을 돌리는 학부모들이 크게 늘고 있다 . 제주 서귀포시 대정읍에 있는 영어교육도시 내 4개 국제학교 중 제주국제자유도시개발센터 ( jdc · 이사장 문대림 ) 의 자회사인 [UNK] 노스런던컬리지에잇스쿨 제주 ( nlcs jeju · 영국 ) · 브랭섬홀 아시아 ( bha · 캐나다 ) · 세인트존스베리아카데미 제주 ( sja jeju · 미국 ) 3곳을 운영하고 있는 가운데 , 학생 충원율이 90 % 대에 육박하고 있는 것으로 나타났다 . jdc는 국제학교 3곳의 2021 · 2022학년도 학생 충원율이 전년 대비 10 . 5 % 포인트 상승한 88 . 9 % 로 역대 최고치를 달성했다고 26일 밝혔다 . 영국 명문 사립학교인 nlcs의 유일한 해외 캠퍼스인 nlcs jeju는 전년보다 6 . 7 % 포인트 증가한 98 . 4 % ( 1484명 ) 로 가장 높은 충원율을 보였다 . 2017년 문을 연 미국계 sja jeju는 개교 5년 만에 충원율 84 . 1 % 를 달성했고 , 캐나다계 여학교인 bha도 82 . 0 % 를 기록했다 . 또 국제학교 3곳의 입학 지원자가 2000명을 웃돌아 평균 2 . 6대 1의 경쟁률을 기록했다고 jdc는 설명했다 제주영어교육도시는 조기 유학 수요를 흡수하고 , 글로벌 인재 양성을 위해 조성됐다 . 8월 현재 4582명의 학생이 국제학교에 재학 중이다 . 비록 코로나19 변수가 있지만 , 그동안 9687억원 유",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" 강릉 올해로 51회를 맞이하는 강릉예술축전이 다음 달 14일까지 다채롭게 열린다 . 공연예술이 중심이 됐던 예년과 달리 코로나19 확산 방지를 위해 올해는 시각예술을 중점으로 진행이 되며 비대면으로 진행되는 공연행사는 유튜브를 통해 감상할 수 있다 . 문인협회의 시화전과 사진작가협회의 회원전은 31일부터 9월5일까지 강릉아트센터 제2전시실과 제1전시실에서 각각 열린다 . 화예협의회는 9월2일부터 4일까지 강릉아트센터 제3전시실에서 진행되며 , 미술협회의 정기전 및 교류전은 9월10일부터 14일까지 강릉아트센터 전관에서 이뤄진다 . 특히 올해는 강릉시와 목포시 미술작가들의 교류전으로 , [UNK] 바닷바람 ' 이라는 주제로 다양한 그림이 전시돼 풍부한 볼거리를 선보일 예정이다 . 연극협회는 연극 [UNK] 별 헤는 오로라 마을 ' 을 작은공연장 단에서 개최한다 . 음악협회 , 영화인협회 , 국악협회 , 무용협회의 공연은 모두 비대면 공연으로 열려 유튜브로 공연을 감상할 수 있다 . 박선자 강릉예총 회장은 [UNK] 어려운 상황에도 강릉의 예술인들이 열정을 다해 준비한 공연과 전시를 통해 시민들이 각종 문화를 즐길 수 있는 소중한 시간이 되길 바란다 [UNK] 고 말했다 . 한편 개막 퍼포먼스와 시민 아트 체험 등은 취소됐다 . """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" 뉴질랜드에서 지난달 중순부터 코로나19 델타 변이 바이러스에 감염된 9세 이하 어린이가 전체 감염자의 14 % 에 이르는 것으로 나타났습니다 . 뉴질랜드 언론에 따르면 저신다 아던 총리는 이날 기자회견에서 지난달 중순 시작된 델타 변이 지역사회 감염 사태로 868명의 확진자가 나왔고 이 가운데 9세 이하 어린이는 121명이라고 밝혔습니다 . 아던 총리는 이러한 사실은 가능한 한 많은 사람이 백신을 접종하는 게 중요하다는 것을 말해준다고 밝혔습니다 . 그러면서 \ "" 어린이들을 위해서 성인들 모두 백신을 접종해야 한다 \ "" 고 강조했습니다 . 뉴질랜드 의약품 감독 관리 당국은 12세 이하 어린이들에 대한 백신 접종은 아직 승인하지 않은 상태입니다 . "" , ( 사진 = 게티이미지코리아 ) , "" 네이버홈에서 ' sbs 뉴스 ' 를 구독하세요 ! "" , https : / / media . naver . com / channel / promotion . nhn ? oid = 055",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" 뉴스데스크 , "" [UNK] 앵커 ▶ 코로나19 백신 접종을 잘못한 경우들 뉴스에서 보셨을 텐데요 . 이런사례들은 1 , 400건에 달합니다 . 그 중에 유효기간이 지난 백신을 주사했다거나 , 1차에 모더나를 맞았는데 , 2차에는 아스트라제네카로 잘못 접종한 경우가 60 % 를 차지했습니다 . 그럼 백신을 잘못 맞은 사람들은 다시 접종을 해야 하는 걸까요 ? 조희형 기자가 보도합니다 . [UNK] 리포트 ▶ 지난달 말 , 냉장 유효기간이 지난 화이자 백신을 20여 명에게 잘못 접종한 인천의 한 병원 . 병원 측은 병에 적힌 냉동 유효 기간 ( 10월 ) 을 상자에 표시된 냉장 유효 기간 ( 8월 초 ) 과 착각한 것으로 조사됐습니다 . 당시 화이자 백신은 냉장상태로 보관돼 유효기간이 이미 지났는데도 냉동유효기간을 적용해 그냥 접종한 겁니다 . 백신 오접종자 \ "" 주사 맞는데 주사기가 이미 나와 있었어요 . 그 상태에서 맞았으니까 유효기간이 지났는지 안 지났는지 잘 모르는데 ‥ \ "" 앞으로 백신을 접종하는 의료기관은 당일 사용하는 백신 종류와 유효기간 정보를 병원 대기실과 접종실에 게시해야 합니다 . 정부는 의료기관으로 백신을 배달할 때 , 유효기간 안내 스티커를 상자 내부와 측면에도 추가 부착하고",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" 헤럴드경제 ( 안산 ) = 박정규 기자 안산시 ( 시장 윤화섭 ) 는 코로나19 4차 유행 장기화와 델타 변이 유행 등에 따라 중증 · 사망위험이 높은 고령층을 포함한 백신 미접종자에 대한 코로나19 예방접종 예약접수를 오는 30일까지 받는다고 28일 밝혔다 . 아직 백신접종을 받지 않은 시민은 사전예약을 하면 된다 . 접종은 다음날인 10월 1일부터 16일까지 진행된다 . 접종대상은 18세 이상 ( 2003 . 12 . 31 . 이전 출생자 ) 가운데 미접종자이고 , 백신종류는 모더나 백신이지만 , 백신 수급 상황에 따라 변경할 수 있다 . 건강보험 미가입자는 예방접종센터에서만 접종할 수 있지만 , 건강보험 가입자는 위탁의료기관에서도 가능하다 . 시는 지난 15일 오후 6시 기준으로 코로나19 백신 1차 접종률 70 . 2 % 를 기록하며 , 정부 목표를 조기에 달성하는 등 백신접종에 속도를 높여 왔다 . 시는 또 예방접종과 관련한 방역수칙을 위반한 시민에 대해서는 [UNK] 감염병의 예방 및 관리에 관한 법률 [UNK] 제81조 제10호를 근거로 엄중 처벌하는 한편 , 이로 인해 추가 확산이 발생할 경우 관련 검사 · 조사 · 치료 등 모든 방역비용에 대해 구상권을 청구할 방침이다 . """,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" 1일 신규 확진자는 2 , 486명으로 전날 ( 2 , 564명 ) 보다 78명 줄었으나 , 목요일 확진자 ( 발표 금요일 ) 로는 최다 기록을 나타내며 8일째 [UNK] 요일 최다 [UNK] 기록을 갱신했다 . 또한 , 87일 연속 네 자릿수를 기록하며 전국적 확산세가 지속되고 있다 . 1일 정부서울청사에서 주재한 코로나19 중앙재난안전대책본부 회의에서 정부는 현행 거리두기 단계를 2주간 연장한다고 밝혔다 . 이에 따라 수도권 4단계 , 비수도권 3단계의 거리두기 단계가 4일부터 17일까지 유지된다 . 중앙방역대책본부는 10월 1일 0시 기준으로 , 국내 발생 신규 확진자는 2 , 451명 , 해외유입 사례는 35명이 확인되어 총 누적 확진자 수는 313 , 773명 ( 해외유입 14 , 470명 ) 이라고 밝혔다 . 의심신고 검사자 수는 51 , 967명 , 수도권 임시선별검사소 검사 건수는 97 , 966건 ( 확진자 711명 ) , 비수도권 임시선별검사소 검사 건수는 11 , 864건 ( 확진자 23명 ) 으로 총 검사 건수는 161 , 797건 , 신규 확진자는 총 2 , 486명이다 . 신규 격리해제자는 1 , 371명으로 총 275 , 576명 ( 87 . 83 % ) 이 격리 해제되어 , 현재 1 , 099명이 격리 중이다 . 위중증 환자는 323명 , 사망자는 16명으로 누적 사망자는 2 , 497명 ( 치명률 0 . 80 % ) 이다 . 10월 1일 0시 기준으로 1차 접종은 343 , 752명으로 총 39 , 347 , 573명이 1차 접종을 받았고 , 이 중 541 , 143명이 접종을",1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
" "" 제주항공은 직원들의 마음건강과 코로나블루 심리 방역을 위해 감성코칭 전문 심리상담 프로그램을 운영하고 있다고 22일 밝혔다 . 현재 제주항공은 코로나19 상황을 고려해 내 · 외부 감성코칭 전문가를 활용 , 오프라인은 물론 온라인으로도 코칭을 받을 수 있도록 하고 있다 . 그 결과 최근 2년간 총 370여명의 임직원이 750회에 걸쳐 감성코칭 프로그램을 이용했다 . 마음건강 회복과 더불어 구성원들 사이 자유로운 소통화 협업을 위한 노력도 하고 있다 . 이를위해 제주항공은 밀레니얼세대 ( 90년대생 ) 로 구성된 ' 제주항공 주니어보드 1기 ' 를 모집하고 , 조직 문화 등 월 단위로 구성원 간의 토론 및 개선 방안을 경영진에게 직접 건의하도록 하고 있다 . 총 10명으로 구성된 제주항공 주니어보드 1기는 오는 10월6일 발대식을 갖고 임무 수행에 나설 예정이다 . 이밖에 휴업과 휴직 , 그리고 감염 확산 차단을 위한 원격근무 확대로 자주 만나지 못해 소통에 어려움을 겪는 임직원들을 위해 매주 금요일마다 ' fun day ' 행사도 진행한다 . 제주항공 fun day는 다른 부서 임직원끼리 소모임을 통해 소통 기회를 넓히고 정서적 교감을 확대할 수 있도록 하는 프로그램이다 . 제주항공 관계자는 \ "" 곧 다가올 포스트코로나 시대에 제주항공이 항공 선도기업으로 도약하기 위해서는 직원이 곧 미래 경쟁",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "" 육우자조금관리위원회 ( 위원장 박대안 ) 는 코로나19 백신수송 및 호송작전 임무를 수행하고 있는 특전사 비호부대에 국내산 소고기 ' 육우 ' 250kg을 전달했다고 16일 밝혔다 . 육우자조금은 지난해 흑표부대에 ' 나라는 군인이 지키고 , 식탁은 육우가 지킨다 ! ' 메시지와 육우를 지원한데 이어 올해는 ' 군인이 사랑하는 육우 , 육우가 사랑하는 대한민국 ' 메시지로 비호부대에 육우를 제공했다 . """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" 10일 부산시에 따르면 이날 오전 45명의 신규 확진자가 발생했다 . 이로써 지역 누적 확진자 수는 1만3149명으로 늘었다 . 신규 확진자는 가족 , 지인 , 직장동료 등으로부터 접촉한 34명과 스스로 증상을 느껴 진단검사를 통해 양성 반응을 보인 11명이다 . 해운대구의 한 목욕탕에선 새로운 집단감염이 발생했다 . 당국은 지난 6일 확진자 동선에서 해당 목욕탕을 확인하고 동시간대 이용자와 종사자를 대상으로 조사를 벌였다 . 그러자 지난 8일 이용자 1명이 추가 확진된 데 이어 이날 이용자 4명 , 접촉자 1명이 더 늘어났다 . 지금까지 이 목욕탕에서 나온 확진자는 이용자 6명 , 접촉자 1명 등 총 7명이다 . 당국은 역학조사 범위를 더 넓혀 이용자의 동선을 공개하고 추가 조사를 진행하고 있다 . 앞서 확진자가 다수 발생한 부산진구 감성주점에선 이날 이용자 2명과 접촉자 1명이 발생했다 . 지금까지 이곳의 확진자는 이용자 12명 , 접촉자 1명이다 . 당국은 이곳 역시 출입자 명단을 확보하고 업소 동선을 공개 , 이용자에 대한 검사를 하고 있다 . 양산의 한 공장과 관련해선 이날 종사자 1명 , 가족 2명이 추가로 나왔다 . 확진자 누계는 38명으로 늘어났다 . 이외에는 가족이나 지인 등으로부터 확진된 사례다 . 현재 부산에는 각 의료기관에서 448명이 치료를 받고 있다",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
